,smrbci,dynamical,exponential
170,"(3.0895182590029435e-07, 0.9999997019767761)","(0.03420620039105415, 0.965793788433075)","(0.0, 1.0)"
171,"(1.1652218745439313e-07, 0.9999998807907104)","(0.03318001702427864, 0.9668200016021729)","(0.0, 1.0)"
172,"(5.924971901549725e-06, 0.9999940991401672)","(0.032184794545173645, 0.9678152203559875)","(0.0, 1.0)"
173,"(9.46790635225625e-07, 0.9999990463256836)","(0.031219281256198883, 0.9687806963920593)","(0.0, 1.0)"
174,"(1.1124869843115448e-06, 0.9999988675117493)","(0.03028273768723011, 0.969717264175415)","(0.0, 1.0)"
175,"(7.728706208354197e-08, 0.9999999403953552)","(0.0293742585927248, 0.9706257581710815)","(0.0, 1.0)"
176,"(6.564790737684234e-07, 0.9999993443489075)","(0.02849305234849453, 0.9715069532394409)","(0.0, 1.0)"
177,"(9.453338378762055e-08, 0.9999998807907104)","(0.027638264000415802, 0.9723617434501648)","(0.0, 1.0)"
178,"(4.990199364840464e-09, 1.0)","(0.026809116825461388, 0.9731909036636353)","(0.0, 1.0)"
179,"(1.2654073344720018e-08, 1.0)","(0.026004843413829803, 0.9739951491355896)","(0.0, 1.0)"
180,"(2.886759942200001e-09, 1.0)","(0.025224700570106506, 0.9747753143310547)","(0.0, 1.0)"
181,"(5.793601154380212e-09, 1.0)","(0.024467960000038147, 0.975532054901123)","(0.0, 1.0)"
182,"(8.185544464467398e-10, 1.0)","(0.023733921349048615, 0.976266086101532)","(0.0, 1.0)"
183,"(3.908023626930657e-10, 1.0)","(0.02302190475165844, 0.9769781231880188)","(0.0, 1.0)"
184,"(4.743720971589482e-10, 1.0)","(0.022331248968839645, 0.9776687622070312)","(0.0, 1.0)"
185,"(1.3086956518471027e-10, 1.0)","(0.021661311388015747, 0.9783387184143066)","(0.0, 1.0)"
186,"(1.3834241911758749e-11, 1.0)","(0.02101147174835205, 0.978988528251648)","(0.0, 1.0)"
187,"(2.370424967423901e-10, 1.0)","(0.020381128415465355, 0.9796188473701477)","(0.0, 1.0)"
188,"(1.5437612077562335e-08, 1.0)","(0.0197696965187788, 0.9802303314208984)","(0.0, 1.0)"
189,"(4.693368471642145e-10, 1.0)","(0.019176606088876724, 0.9808233976364136)","(0.0, 1.0)"
190,"(3.928340985837053e-11, 1.0)","(0.0186013076454401, 0.9813987016677856)","(0.0, 1.0)"
191,"(3.709977203919523e-12, 1.0)","(0.018043270334601402, 0.9819567203521729)","(0.0, 1.0)"
192,"(4.5464418896301595e-09, 1.0)","(0.01750197261571884, 0.982498049736023)","(0.0, 1.0)"
193,"(1.0794143356918084e-08, 1.0)","(0.016976913437247276, 0.9830231070518494)","(0.0, 1.0)"
194,"(7.150578795744877e-08, 0.9999999403953552)","(0.016467608511447906, 0.9835323691368103)","(0.0, 1.0)"
195,"(5.87799142692802e-09, 1.0)","(0.01597358100116253, 0.9840264320373535)","(0.0, 1.0)"
196,"(4.192877867126299e-08, 0.9999999403953552)","(0.015494375489652157, 0.9845056533813477)","(0.0, 1.0)"
197,"(4.702071692008758e-07, 0.9999995231628418)","(0.015029558911919594, 0.9849704504013062)","(0.0, 1.0)"
198,"(8.776866025073105e-07, 0.9999991059303284)","(0.014578699134290218, 0.9854212999343872)","(0.0, 1.0)"
199,"(6.414461495296564e-07, 0.9999993443489075)","(0.014141357503831387, 0.9858586192131042)","(0.0, 1.0)"
200,"(3.3655325637482747e-07, 0.9999996423721313)","(0.013717127032577991, 0.9862828850746155)","(0.0, 1.0)"
201,"(3.6081568396184593e-05, 0.9999639391899109)","(0.013306695967912674, 0.9866933226585388)","(0.0, 1.0)"
202,"(0.005588058847934008, 0.9944119453430176)","(0.013075137510895729, 0.9869248867034912)","(0.0, 1.0)"
203,"(0.5586908459663391, 0.4413091540336609)","(0.029443593695759773, 0.970556378364563)","(0.0006966621149331331, 0.9993033409118652)"
204,"(0.14480391144752502, 0.8551961183547974)","(0.03290439769625664, 0.9670956134796143)","(0.0, 1.0)"
205,"(0.8041561245918274, 0.1958438605070114)","(0.05604192987084389, 0.943958044052124)","(0.008486554957926273, 0.9915134310722351)"
206,"(0.07770653814077377, 0.922293484210968)","(0.056691866368055344, 0.9433081150054932)","(0.0, 1.0)"
207,"(0.9989521503448486, 0.00104786385782063)","(0.08495964854955673, 0.9150403738021851)","(0.02797204814851284, 0.9720279574394226)"
208,"(0.5968113541603088, 0.40318864583969116)","(0.10031518340110779, 0.8996847867965698)","(0.029770907014608383, 0.9702290892601013)"
209,"(0.9659073352813721, 0.034092675894498825)","(0.1262829303741455, 0.8737170696258545)","(0.05379769206047058, 0.946202278137207)"
210,"(0.34802696108818054, 0.6519730091094971)","(0.13293524086475372, 0.8670647740364075)","(0.052492521703243256, 0.9475075006484985)"
211,"(0.9611864686012268, 0.038813550025224686)","(0.15778274834156036, 0.8422172665596008)","(0.07634937018156052, 0.9236506223678589)"
212,"(0.9334089159965515, 0.06659110635519028)","(0.18105152249336243, 0.81894850730896)","(0.09732183068990707, 0.9026781916618347)"
213,"(0.8698357343673706, 0.13016429543495178)","(0.20171502232551575, 0.7982850074768066)","(0.11238191276788712, 0.8876180648803711)"
214,"(0.10624643415212631, 0.8937535881996155)","(0.19885097444057465, 0.8011490106582642)","(0.098991259932518, 0.9010087251663208)"
215,"(0.2858947217464447, 0.7141052484512329)","(0.2014622837305069, 0.7985377311706543)","(0.09663667529821396, 0.9033633470535278)"
216,"(0.7791675329208374, 0.2208324670791626)","(0.21879342198371887, 0.7812066078186035)","(0.10547652840614319, 0.8945235013961792)"
217,"(0.04070073366165161, 0.9592992663383484)","(0.21345064043998718, 0.7865493297576904)","(0.08479160070419312, 0.9152083992958069)"
218,"(0.0012832604115828872, 0.9987167119979858)","(0.20708562433719635, 0.7929143905639648)","(0.05844106525182724, 0.9415589570999146)"
219,"(0.09804809093475342, 0.9019519090652466)","(0.20381450653076172, 0.7961854934692383)","(0.043351512402296066, 0.9566484689712524)"
220,"(0.947134256362915, 0.052865754812955856)","(0.22611407935619354, 0.7738859057426453)","(0.06531361490488052, 0.9346863627433777)"
221,"(0.02362276054918766, 0.9763772487640381)","(0.22003933787345886, 0.7799606323242188)","(0.041741881519556046, 0.9582580924034119)"
222,"(0.0004916092730127275, 0.9995083808898926)","(0.21345292031764984, 0.786547064781189)","(0.01449895091354847, 0.9855010509490967)"
223,"(0.10709693282842636, 0.8929030895233154)","(0.2102622389793396, 0.7897377610206604)","(0.0, 1.0)"
224,"(0.9996855854988098, 0.00031440117163583636)","(0.23394492268562317, 0.7660551071166992)","(0.028079042211174965, 0.9719209671020508)"
225,"(0.9999747276306152, 2.5266690499847755e-05)","(0.2569257915019989, 0.7430742383003235)","(0.05674882233142853, 0.9432511925697327)"
226,"(0.9960364699363708, 0.00396354403346777)","(0.27909907698631287, 0.7209008932113647)","(0.08538918197154999, 0.9146108031272888)"
227,"(0.8762764930725098, 0.12372352927923203)","(0.29701438546180725, 0.7029855847358704)","(0.10080906748771667, 0.8991909027099609)"
228,"(0.979891836643219, 0.020108137279748917)","(0.3175007104873657, 0.6824992895126343)","(0.12795060873031616, 0.8720493912696838)"
229,"(0.9800357222557068, 0.019964274019002914)","(0.33737674355506897, 0.6626232862472534)","(0.15551230311393738, 0.8444876670837402)"
230,"(0.6285953521728516, 0.37140464782714844)","(0.34611329436302185, 0.6538867354393005)","(0.15993204712867737, 0.840067982673645)"
231,"(0.3818192183971405, 0.6181808114051819)","(0.3471844494342804, 0.6528155207633972)","(0.16094321012496948, 0.8390567898750305)"
232,"(0.9908358454704285, 0.009164150804281235)","(0.36649397015571594, 0.6335060000419617)","(0.19039888679981232, 0.8096011281013489)"
233,"(0.9999461770057678, 5.3801002650288865e-05)","(0.3854975402355194, 0.614502489566803)","(0.22142444550991058, 0.7785755395889282)"
234,"(0.9999432563781738, 5.671799590345472e-05)","(0.4039308726787567, 0.5960690975189209)","(0.25261589884757996, 0.7473840713500977)"
