,smrbci,dynamical,exponential
554,"(6.118437340774108e-06, 0.9999938607215881)","(0.7145483493804932, 0.28545162081718445)","(0.9053592085838318, 0.09464079141616821)"
555,"(2.4258579287561588e-05, 0.9999757409095764)","(0.6931126713752747, 0.30688732862472534)","(0.8754870891571045, 0.12451291084289551)"
556,"(4.294786776881665e-05, 0.9999570250511169)","(0.6723206043243408, 0.3276793956756592)","(0.8451654314994812, 0.1548345685005188)"
557,"(1.4500639736070298e-05, 0.9999855160713196)","(0.6521514058113098, 0.3478485643863678)","(0.8144597411155701, 0.18554025888442993)"
558,"(8.64486901264172e-06, 0.9999913573265076)","(0.6325871348381042, 0.36741283535957336)","(0.7834638357162476, 0.21653616428375244)"
559,"(6.189508712850511e-05, 0.9999381303787231)","(0.6136114001274109, 0.3863885700702667)","(0.7522916793823242, 0.24770832061767578)"
560,"(0.00021888824994675815, 0.9997811317443848)","(0.5952096581459045, 0.40479034185409546)","(0.7210739850997925, 0.2789260149002075)"
561,"(0.000294044497422874, 0.999705970287323)","(0.5773622393608093, 0.42263779044151306)","(0.6899184584617615, 0.3100815415382385)"
562,"(0.0005366522818803787, 0.9994633197784424)","(0.5600574612617493, 0.43994253873825073)","(0.6589668989181519, 0.34103310108184814)"
563,"(0.00732424296438694, 0.99267578125)","(0.5434755086898804, 0.456524521112442)","(0.6292710304260254, 0.3707289695739746)"
564,"(0.020674249157309532, 0.9793257713317871)","(0.527791440486908, 0.47220852971076965)","(0.6017876267433167, 0.39821237325668335)"
565,"(0.08062414079904556, 0.9193758368492126)","(0.5143764615058899, 0.4856235384941101)","(0.5819280743598938, 0.4180719256401062)"
566,"(0.007922678254544735, 0.9920773506164551)","(0.4991828501224518, 0.5008171200752258)","(0.5534063577651978, 0.44659364223480225)"
567,"(0.00209419964812696, 0.9979057908058167)","(0.48427021503448486, 0.5157297849655151)","(0.5245574116706848, 0.4754425883293152)"
568,"(0.01773589849472046, 0.9822641015052795)","(0.4702741801738739, 0.5297257900238037)","(0.49846208095550537, 0.5015379190444946)"
569,"(0.1017802283167839, 0.8982197642326355)","(0.45921939611434937, 0.5407806038856506)","(0.4826454222202301, 0.5173546075820923)"
570,"(0.25238901376724243, 0.7476109862327576)","(0.4530144929885864, 0.5469855070114136)","(0.47746723890304565, 0.5225327610969543)"
571,"(0.5465517044067383, 0.4534483253955841)","(0.4530144929885864, 0.5469855070114136)","(0.47845005989074707, 0.5215499401092529)"
572,"(0.8189830780029297, 0.18101689219474792)","(0.46399351954460144, 0.5360064506530762)","(0.48830264806747437, 0.5116973519325256)"
573,"(0.13223432004451752, 0.8677656650543213)","(0.4540407657623291, 0.5459592342376709)","(0.4754413962364197, 0.5245586037635803)"
574,"(0.0054350788705050945, 0.994564950466156)","(0.44058260321617126, 0.5594174265861511)","(0.4485836327075958, 0.5514163970947266)"
575,"(0.009406630881130695, 0.9905933737754822)","(0.42764732241630554, 0.5723526477813721)","(0.4228026866912842, 0.5771973133087158)"
576,"(0.11904440075159073, 0.8809555768966675)","(0.4183892607688904, 0.5816107392311096)","(0.4100222885608673, 0.5899777412414551)"
577,"(0.4970788359642029, 0.5029211640357971)","(0.4183892607688904, 0.5816107392311096)","(0.4116635024547577, 0.5883364677429199)"
578,"(0.10989867895841599, 0.8901013135910034)","(0.40913453698158264, 0.590865433216095)","(0.39823591709136963, 0.6017640829086304)"
579,"(0.025915157049894333, 0.9740848541259766)","(0.3976379632949829, 0.6023620367050171)","(0.3755875527858734, 0.6244124174118042)"
580,"(0.0829831212759018, 0.917016863822937)","(0.3881983458995819, 0.6118016839027405)","(0.3600439727306366, 0.639955997467041)"
581,"(0.7235357165336609, 0.2764642834663391)","(0.3982584476470947, 0.6017415523529053)","(0.3669765889644623, 0.6330233812332153)"
582,"(0.6212021708488464, 0.37879782915115356)","(0.4049467444419861, 0.5950532555580139)","(0.37097883224487305, 0.629021167755127)"
583,"(0.2072795331478119, 0.7927204966545105)","(0.39901673793792725, 0.6009832620620728)","(0.3654358386993408, 0.6345641613006592)"
584,"(0.15276475250720978, 0.8472352623939514)","(0.3916291892528534, 0.6083707809448242)","(0.35633182525634766, 0.6436681747436523)"
585,"(0.6183565258979797, 0.3816434442996979)","(0.3984310030937195, 0.6015689969062805)","(0.36041489243507385, 0.6395851373672485)"
586,"(0.6061205267906189, 0.3938794732093811)","(0.4046616852283478, 0.5953382849693298)","(0.3642265200614929, 0.6357734799385071)"
587,"(0.3101271688938141, 0.6898728013038635)","(0.4018256664276123, 0.5981743335723877)","(0.3632124066352844, 0.6367875933647156)"
588,"(0.3549080491065979, 0.6450919508934021)","(0.40041813254356384, 0.5995818972587585)","(0.363397479057312, 0.636602520942688)"
589,"(0.7873542308807373, 0.2126457542181015)","(0.41202619671821594, 0.5879737734794617)","(0.37326595187187195, 0.6267340183258057)"
590,"(0.9607783555984497, 0.03922165185213089)","(0.42848876118659973, 0.5715112686157227)","(0.3982929289340973, 0.6017071008682251)"
591,"(0.9251728057861328, 0.074827179312706)","(0.44338926672935486, 0.5566107630729675)","(0.41877463459968567, 0.5812253952026367)"
592,"(0.6201596260070801, 0.3798404037952423)","(0.44869235157966614, 0.5513076186180115)","(0.42196524143218994, 0.5780347585678101)"
593,"(0.3082149028778076, 0.6917850971221924)","(0.44447803497314453, 0.5555219650268555)","(0.42000946402549744, 0.5799905061721802)"
594,"(0.2822906970977783, 0.7177093029022217)","(0.43961241841316223, 0.5603875517845154)","(0.41720816493034363, 0.582791805267334)"
595,"(0.18805637955665588, 0.8119436502456665)","(0.4320657551288605, 0.5679342746734619)","(0.40978819131851196, 0.590211808681488)"
596,"(0.10081040859222412, 0.8991895914077759)","(0.4221281111240387, 0.5778719186782837)","(0.39552515745162964, 0.6044748425483704)"
597,"(0.31713879108428955, 0.6828612089157104)","(0.41897842288017273, 0.5810215473175049)","(0.3942745327949524, 0.6057254672050476)"
598,"(0.8360288739204407, 0.16397112607955933)","(0.4314899146556854, 0.5685100555419922)","(0.4068111479282379, 0.5931888818740845)"
599,"(0.8613997101783752, 0.13860031962394714)","(0.44438719749450684, 0.5556128025054932)","(0.42110028862953186, 0.5788997411727905)"
600,"(0.6600092053413391, 0.3399908244609833)","(0.4508558511734009, 0.5491441488265991)","(0.42512431740760803, 0.5748757123947144)"
601,"(0.6980016231536865, 0.30199840664863586)","(0.45827022194862366, 0.541729748249054)","(0.4301656484603882, 0.5698343515396118)"
602,"(0.4229578971862793, 0.5770421028137207)","(0.45721086859703064, 0.5427891612052917)","(0.4305442273616791, 0.5694557428359985)"
603,"(0.19847802817821503, 0.8015219569206238)","(0.4494488835334778, 0.5505511164665222)","(0.4235386550426483, 0.5764613151550293)"
604,"(0.20623278617858887, 0.7937672138214111)","(0.4421524107456207, 0.5578476190567017)","(0.4171146750450134, 0.5828853249549866)"
605,"(0.45882463455200195, 0.541175365447998)","(0.4421524107456207, 0.5578476190567017)","(0.4181937575340271, 0.5818062424659729)"
606,"(0.6745875477790833, 0.32541248202323914)","(0.4491254389286041, 0.5508745312690735)","(0.4226522147655487, 0.5773477554321289)"
607,"(0.8091591000556946, 0.19084088504314423)","(0.45992645621299744, 0.540073573589325)","(0.4329087436199188, 0.5670912265777588)"
608,"(0.9767546057701111, 0.023245377466082573)","(0.47543129324913025, 0.5245687365531921)","(0.45905640721321106, 0.5409436225891113)"
609,"(0.9999223947525024, 7.75925800553523e-05)","(0.49116599559783936, 0.5088340044021606)","(0.4879651367664337, 0.5120348930358887)"
610,"(0.9996697902679443, 0.000330211129039526)","(0.5064210891723633, 0.4935789108276367)","(0.5162779688835144, 0.4837220311164856)"
611,"(0.8088404536247253, 0.19115954637527466)","(0.5154936909675598, 0.4845063388347626)","(0.5247358083724976, 0.47526419162750244)"
612,"(0.4938133955001831, 0.5061866044998169)","(0.5154936909675598, 0.4845063388347626)","(0.5241824388504028, 0.47581756114959717)"
613,"(0.7937766909599304, 0.2062232941389084)","(0.5238421559333801, 0.4761578440666199)","(0.5315781831741333, 0.4684218168258667)"
614,"(0.9846159219741821, 0.015384060330688953)","(0.5376653671264648, 0.46233463287353516)","(0.5569005012512207, 0.4430994987487793)"
615,"(0.7938300967216492, 0.20616993308067322)","(0.5453503131866455, 0.4546497166156769)","(0.5636787414550781, 0.4363212585449219)"
616,"(0.18194007873535156, 0.8180599212646484)","(0.534447968006134, 0.4655520021915436)","(0.5530917048454285, 0.44690829515457153)"
617,"(0.06966908276081085, 0.9303309321403503)","(0.5205046534538269, 0.4794953763484955)","(0.5328829288482666, 0.4671170711517334)"
618,"(0.01512064691632986, 0.9848793745040894)","(0.5053431391716003, 0.49465686082839966)","(0.5062671303749084, 0.49373286962509155)"
619,"(0.0029673005919903517, 0.9970327019691467)","(0.4902718663215637, 0.5097281336784363)","(0.4784507155418396, 0.5215492844581604)"
620,"(0.0040869214572012424, 0.9959130883216858)","(0.47568634152412415, 0.5243136882781982)","(0.45134076476097107, 0.5486592054367065)"
621,"(0.010210691951215267, 0.9897893071174622)","(0.46172207593917847, 0.5382779240608215)","(0.42562171816825867, 0.574378252029419)"
622,"(0.0037402736488729715, 0.9962597489356995)","(0.44798263907432556, 0.5520173907279968)","(0.39944779872894287, 0.6005522012710571)"
623,"(0.015594531781971455, 0.9844054579734802)","(0.43501099944114685, 0.5649889707565308)","(0.375384122133255, 0.6246159076690674)"
624,"(0.5697636008262634, 0.4302363991737366)","(0.43905359506607056, 0.5609464049339294)","(0.3784344494342804, 0.621565580368042)"
625,"(0.5172963738441467, 0.48270365595817566)","(0.43905359506607056, 0.5609464049339294)","(0.38079148530960083, 0.6192085146903992)"
626,"(0.22658725082874298, 0.7734127640724182)","(0.43267959356307983, 0.5673204064369202)","(0.3761644661426544, 0.623835563659668)"
627,"(0.6756460666656494, 0.3243539333343506)","(0.4399685859680176, 0.5600314140319824)","(0.3813093900680542, 0.6186906099319458)"
628,"(0.9856922030448914, 0.014307791367173195)","(0.4563402831554413, 0.5436597466468811)","(0.4095170199871063, 0.5904829502105713)"
629,"(0.9968265295028687, 0.0031734423246234655)","(0.47255486249923706, 0.5274451375007629)","(0.438863068819046, 0.5611369609832764)"
630,"(0.997028112411499, 0.0029719010926783085)","(0.4882890284061432, 0.5117109417915344)","(0.4677269160747528, 0.5322730541229248)"
631,"(0.9978736639022827, 0.002126324689015746)","(0.5035765767097473, 0.4964234530925751)","(0.4961715042591095, 0.5038285255432129)"
632,"(0.9988403916358948, 0.0011596238473430276)","(0.518434464931488, 0.48156553506851196)","(0.5242024660110474, 0.47579753398895264)"
633,"(0.9988402128219604, 0.0011597757693380117)","(0.5328466296195984, 0.4671533703804016)","(0.5516847968101501, 0.44831520318984985)"
634,"(0.9994134902954102, 0.0005865246057510376)","(0.5468435883522034, 0.45315638184547424)","(0.5787270069122314, 0.42127299308776855)"
635,"(0.9998505711555481, 0.0001494045282015577)","(0.5604338049888611, 0.4395661950111389)","(0.6053466200828552, 0.3946533799171448)"
636,"(0.9942152500152588, 0.005784770008176565)","(0.5734472274780273, 0.42655277252197266)","(0.6307138800621033, 0.36928611993789673)"
637,"(0.50993812084198, 0.49006187915802)","(0.5734472274780273, 0.42655277252197266)","(0.6285382509231567, 0.37146174907684326)"
638,"(0.3276120722293854, 0.6723878979682922)","(0.5660721659660339, 0.4339278042316437)","(0.6234184503555298, 0.3765815496444702)"
639,"(0.8944705128669739, 0.10552950948476791)","(0.5759241580963135, 0.4240758717060089)","(0.6367174386978149, 0.36328256130218506)"
640,"(0.8042641282081604, 0.1957358568906784)","(0.5827743411064148, 0.4172256886959076)","(0.6428443193435669, 0.3571556806564331)"
641,"(0.18318918347358704, 0.8168107867240906)","(0.5707867741584778, 0.4292132258415222)","(0.6311134696006775, 0.3688865303993225)"
642,"(0.08493171632289886, 0.9150682687759399)","(0.5562111139297485, 0.4437888562679291)","(0.6112794876098633, 0.3887205123901367)"
643,"(0.9811680316925049, 0.018831968307495117)","(0.5689598321914673, 0.4310401678085327)","(0.6347336173057556, 0.3652663826942444)"
644,"(0.9710512161254883, 0.02894875593483448)","(0.5810225605964661, 0.41897743940353394)","(0.6565061211585999, 0.34349387884140015)"
645,"(0.013396739028394222, 0.9866032600402832)","(0.5639938116073608, 0.43600618839263916)","(0.6276912093162537, 0.37230879068374634)"
646,"(7.475365691789193e-06, 0.9999925494194031)","(0.5470742583274841, 0.45292577147483826)","(0.597320556640625, 0.402679443359375)"
647,"(2.518674818929867e-06, 0.9999974966049194)","(0.5306621193885803, 0.46933791041374207)","(0.5674019455909729, 0.4325980544090271)"
648,"(0.0006199893541634083, 0.9993799924850464)","(0.5147608518600464, 0.4852391481399536)","(0.5380833148956299, 0.4619166851043701)"
649,"(0.044551461935043335, 0.955448567867279)","(0.5006545782089233, 0.49934542179107666)","(0.5152133107185364, 0.4847866892814636)"
650,"(0.0021848452743142843, 0.9978151321411133)","(0.4857005178928375, 0.5142995119094849)","(0.4871082901954651, 0.5128917098045349)"
651,"(0.00011467992590041831, 0.9998853206634521)","(0.47113293409347534, 0.5288670659065247)","(0.4592529237270355, 0.5407470464706421)"
652,"(0.0005680760368704796, 0.9994319081306458)","(0.4570160210132599, 0.5429840087890625)","(0.4320022761821747, 0.5679976940155029)"
653,"(0.023935630917549133, 0.9760643839836121)","(0.44402360916137695, 0.555976390838623)","(0.40852051973342896, 0.591479480266571)"
654,"(0.0013703959994018078, 0.998629629611969)","(0.4307440221309662, 0.5692559480667114)","(0.38229435682296753, 0.6177056431770325)"
655,"(8.71686715981923e-05, 0.9999128580093384)","(0.41782432794570923, 0.5821756720542908)","(0.35628825426101685, 0.6437117457389832)"
656,"(0.0013953086454421282, 0.9986047148704529)","(0.40533146262168884, 0.5946685075759888)","(0.3308204412460327, 0.6691795587539673)"
657,"(0.6755052208900452, 0.32449474930763245)","(0.4134366810321808, 0.5865633487701416)","(0.3364986181259155, 0.6635013818740845)"
658,"(0.9999664425849915, 3.3550943044247106e-05)","(0.43103256821632385, 0.5689674615859985)","(0.36729341745376587, 0.6327065825462341)"
659,"(0.999950647354126, 4.9332909838994965e-05)","(0.44810009002685547, 0.5518999099731445)","(0.39772528409957886, 0.6022747159004211)"
660,"(0.9975553154945374, 0.0024446751922369003)","(0.46458372473716736, 0.5354162454605103)","(0.42736712098121643, 0.572632908821106)"
661,"(0.9964849948883057, 0.003515016520395875)","(0.48054075241088867, 0.5194592475891113)","(0.45635852217674255, 0.5436414480209351)"
662,"(0.9999155402183533, 8.447262371191755e-05)","(0.49612197279930115, 0.5038779973983765)","(0.4853173792362213, 0.5146826505661011)"
663,"(0.9999775886535645, 2.2416086721932516e-05)","(0.511237621307373, 0.48876237869262695)","(0.5137270092964172, 0.48627299070358276)"
664,"(0.9993122220039368, 0.0006877760170027614)","(0.5258798599243164, 0.4741201400756836)","(0.5414823293685913, 0.4585176706314087)"
665,"(0.9893473982810974, 0.010652600787580013)","(0.5397838950157166, 0.46021613478660583)","(0.5672745108604431, 0.4327254891395569)"
666,"(0.9986416697502136, 0.0013583229156211019)","(0.553549587726593, 0.446450412273407)","(0.5939193964004517, 0.40608060359954834)"
667,"(0.9999784231185913, 2.155354195565451e-05)","(0.5669424533843994, 0.4330575466156006)","(0.6203023195266724, 0.37969768047332764)"
668,"(0.9949143528938293, 0.005085623823106289)","(0.5797815918922424, 0.42021840810775757)","(0.6455469727516174, 0.35445302724838257)"
669,"(0.6932440996170044, 0.306755930185318)","(0.5831854343414307, 0.41681453585624695)","(0.6465440988540649, 0.35345590114593506)"
670,"(0.35383468866348267, 0.6461653113365173)","(0.5763049125671387, 0.42369505763053894)","(0.641849935054779, 0.35815006494522095)"
671,"(0.14540041983127594, 0.8545995950698853)","(0.5633777976036072, 0.43662217259407043)","(0.6274040937423706, 0.3725959062576294)"
672,"(0.20217783749103546, 0.7978221774101257)","(0.5525418519973755, 0.4474581778049469)","(0.6170558333396912, 0.38294416666030884)"
673,"(0.24943968653678894, 0.7505602836608887)","(0.5434487462043762, 0.4565512239933014)","(0.6093088984489441, 0.3906911015510559)"
674,"(0.19196075201034546, 0.8080392479896545)","(0.5329041481018066, 0.46709585189819336)","(0.5986006855964661, 0.40139931440353394)"
675,"(0.039744097739458084, 0.9602559208869934)","(0.5181093811988831, 0.48189064860343933)","(0.5740585327148438, 0.42594146728515625)"
676,"(0.03889266774058342, 0.9611073136329651)","(0.5037328600883484, 0.4962671399116516)","(0.5498215556144714, 0.45017844438552856)"
677,"(0.2631140947341919, 0.7368859052658081)","(0.49651432037353516, 0.5034856796264648)","(0.5438015460968018, 0.45619845390319824)"
678,"(0.8668477535247803, 0.13315224647521973)","(0.5076243281364441, 0.4923757016658783)","(0.5559658408164978, 0.4440341591835022)"
679,"(0.9994915723800659, 0.0005084181320853531)","(0.5223802924156189, 0.4776196777820587)","(0.5829401612281799, 0.41705983877182007)"
680,"(0.9998621344566345, 0.0001378456363454461)","(0.5367047786712646, 0.46329525113105774)","(0.6094892024993896, 0.39051079750061035)"
681,"(0.9999904036521912, 9.594057701178826e-06)","(0.5506033301353455, 0.44939669966697693)","(0.6356285810470581, 0.3643714189529419)"
682,"(0.9999880790710449, 1.1932280358450953e-05)","(0.5640848278999329, 0.43591517210006714)","(0.6613996028900146, 0.33860039710998535)"
683,"(0.9999976754188538, 2.317673079232918e-06)","(0.5771622061729431, 0.4228377938270569)","(0.6868711113929749, 0.31312888860702515)"
684,"(0.9999997615814209, 2.5332121822430054e-07)","(0.5898473262786865, 0.4101526737213135)","(0.7121136784553528, 0.2878863215446472)"
685,"(0.9999955892562866, 4.38856886830763e-06)","(0.6021517515182495, 0.3978482484817505)","(0.7372011542320251, 0.26279884576797485)"
686,"(0.9999595880508423, 4.040792191517539e-05)","(0.6140859723091125, 0.38591402769088745)","(0.7622053623199463, 0.2377946376800537)"
687,"(0.9999997019767761, 3.244518893552595e-07)","(0.6256633996963501, 0.3743366301059723)","(0.7872145175933838, 0.2127854824066162)"
688,"(0.9999996423721313, 3.4006734495051205e-07)","(0.6368934512138367, 0.36310654878616333)","(0.8122994899749756, 0.18770051002502441)"
689,"(0.9999956488609314, 4.3624827412713785e-06)","(0.6477864980697632, 0.35221347212791443)","(0.8375352025032043, 0.16246479749679565)"
690,"(0.9999893307685852, 1.0685911547625437e-05)","(0.6583526134490967, 0.3416474163532257)","(0.8629944920539856, 0.1370055079460144)"
691,"(0.9999967217445374, 3.276787083450472e-06)","(0.668601930141449, 0.3313980996608734)","(0.8887490630149841, 0.11125093698501587)"
692,"(0.9999978542327881, 2.132618419636856e-06)","(0.678543746471405, 0.3214562237262726)","(0.9148629307746887, 0.08513706922531128)"
693,"(0.9999573230743408, 4.269163036951795e-05)","(0.6881861686706543, 0.3118138313293457)","(0.9413886070251465, 0.058611392974853516)"
694,"(0.9999803900718689, 1.9602586689870805e-05)","(0.6975399851799011, 0.3024600148200989)","(0.9683857560157776, 0.03161424398422241)"
695,"(0.9999995231628418, 4.73872916018081e-07)","(0.7066137790679932, 0.29338622093200684)","(0.9958940148353577, 0.004105985164642334)"
696,"(1.0, 1.4175167706298453e-08)","(0.715415358543396, 0.284584641456604)","(1.0, 0.0)"
697,"(1.0, 7.695700965371088e-09)","(0.7239528894424438, 0.27604711055755615)","(1.0, 0.0)"
698,"(1.0, 9.92663728993648e-09)","(0.7322342991828918, 0.26776573061943054)","(1.0, 0.0)"
699,"(1.0, 1.135496252580026e-09)","(0.7402672171592712, 0.25973275303840637)","(1.0, 0.0)"
700,"(1.0, 4.084757254663174e-10)","(0.7480592131614685, 0.2519407868385315)","(1.0, 0.0)"
701,"(1.0, 1.0174181497291102e-09)","(0.7556174397468567, 0.2443825602531433)","(1.0, 0.0)"
702,"(0.9999999403953552, 5.953345194598114e-08)","(0.7629489302635193, 0.2370510995388031)","(1.0, 0.0)"
703,"(0.9999999403953552, 6.124187734712905e-08)","(0.7700604200363159, 0.2299395650625229)","(1.0, 0.0)"
704,"(1.0, 7.634162746406048e-10)","(0.7769585847854614, 0.2230413854122162)","(1.0, 0.0)"
705,"(1.0, 2.1787367916747957e-12)","(0.7836498618125916, 0.21635015308856964)","(1.0, 0.0)"
706,"(1.0, 2.726932720430175e-13)","(0.7901403307914734, 0.20985965430736542)","(1.0, 0.0)"
707,"(1.0, 1.2330574061802935e-10)","(0.7964361310005188, 0.2035638689994812)","(1.0, 0.0)"
708,"(1.0, 3.2871989574800864e-09)","(0.802543044090271, 0.197456955909729)","(1.0, 0.0)"
709,"(0.9999998807907104, 9.139824186377155e-08)","(0.8084667325019836, 0.19153326749801636)","(1.0, 0.0)"
710,"(0.9999993443489075, 6.80540665598528e-07)","(0.8142127394676208, 0.18578729033470154)","(1.0, 0.0)"
711,"(0.9999997615814209, 2.2096016039085953e-07)","(0.8197863101959229, 0.18021368980407715)","(1.0, 0.0)"
712,"(1.0, 1.5215329440820824e-08)","(0.8251927495002747, 0.17480728030204773)","(1.0, 0.0)"
713,"(1.0, 4.718567758743575e-09)","(0.8304369449615479, 0.16956306993961334)","(1.0, 0.0)"
714,"(1.0, 1.4583688034974784e-08)","(0.8355238437652588, 0.1644761860370636)","(1.0, 0.0)"
715,"(0.9999945163726807, 5.49500146007631e-06)","(0.8404579162597656, 0.15954206883907318)","(1.0, 0.0)"
716,"(0.999815821647644, 0.00018415029626339674)","(0.8452386856079102, 0.15476132929325104)","(1.0, 0.0)"
717,"(0.9999797940254211, 2.0183559172437526e-05)","(0.8498808741569519, 0.1501190960407257)","(1.0, 0.0)"
718,"(0.9999914169311523, 8.568766133976169e-06)","(0.854384183883667, 0.14561578631401062)","(1.0, 0.0)"
719,"(0.9999579787254333, 4.201653428026475e-05)","(0.8587514162063599, 0.14124858379364014)","(1.0, 0.0)"
720,"(0.9999295473098755, 7.042961078695953e-05)","(0.8629867434501648, 0.137013241648674)","(1.0, 0.0)"
721,"(0.9999932646751404, 6.74645662002149e-06)","(0.8670969605445862, 0.132903054356575)","(1.0, 0.0)"
722,"(0.9999960660934448, 3.932498657377437e-06)","(0.8710839152336121, 0.12891608476638794)","(1.0, 0.0)"
723,"(0.9988368153572083, 0.0011631959350779653)","(0.8749164938926697, 0.12508349120616913)","(1.0, 0.0)"
724,"(0.9686688780784607, 0.031331147998571396)","(0.877729058265686, 0.12227092683315277)","(1.0, 0.0)"
725,"(0.997446596622467, 0.002553379163146019)","(0.881320595741272, 0.11867940425872803)","(1.0, 0.0)"
726,"(0.9999637007713318, 3.632644074968994e-05)","(0.8848798871040344, 0.11512011289596558)","(1.0, 0.0)"
727,"(0.9992161393165588, 0.0007838480523787439)","(0.8883099555969238, 0.11169002950191498)","(1.0, 0.0)"
728,"(0.9422436356544495, 0.057756390422582626)","(0.8899279832839966, 0.11007202416658401)","(1.0, 0.0)"
729,"(0.16156381368637085, 0.8384361863136292)","(0.8680770993232727, 0.13192293047904968)","(0.9892150163650513, 0.01078498363494873)"
730,"(0.043497540056705475, 0.9565024375915527)","(0.8433396816253662, 0.1566602885723114)","(0.9667438864707947, 0.03325611352920532)"
731,"(0.006719560362398624, 0.9932804107666016)","(0.8182411193847656, 0.18175886571407318)","(0.938941240310669, 0.061058759689331055)"
732,"(0.0012022400042042136, 0.9987977743148804)","(0.7937299609184265, 0.2062700092792511)","(0.9098219871520996, 0.09017801284790039)"
733,"(0.0027953290846198797, 0.9972046613693237)","(0.7700019478797913, 0.22999802231788635)","(0.880426287651062, 0.11957371234893799)"
734,"(0.02267533354461193, 0.9773246645927429)","(0.747582197189331, 0.25241780281066895)","(0.8533477187156677, 0.14665228128433228)"
735,"(0.02045666240155697, 0.9795433282852173)","(0.7257684469223022, 0.27423155307769775)","(0.8256140947341919, 0.1743859052658081)"
736,"(0.014765333384275436, 0.9852346777915955)","(0.7044383883476257, 0.29556161165237427)","(0.7968113422393799, 0.20318865776062012)"
737,"(0.10683952271938324, 0.8931604623794556)","(0.686510443687439, 0.3134895861148834)","(0.7784583568572998, 0.2215416431427002)"
738,"(0.3984659016132355, 0.6015341281890869)","(0.6778690814971924, 0.32213088870048523)","(0.7740525007247925, 0.22594749927520752)"
739,"(0.2134609818458557, 0.7865390181541443)","(0.6639368534088135, 0.3360631465911865)","(0.7635048627853394, 0.23649513721466064)"
740,"(0.2516167163848877, 0.7483832836151123)","(0.651567280292511, 0.348432719707489)","(0.7548385262489319, 0.24516147375106812)"
741,"(0.9440335631370544, 0.05596643313765526)","(0.6603412628173828, 0.3396587371826172)","(0.7724690437316895, 0.22753095626831055)"
742,"(0.9999995827674866, 4.2143796008531353e-07)","(0.6705309748649597, 0.3294689953327179)","(0.7975000739097595, 0.20249992609024048)"
743,"(0.9999997615814209, 2.5218039922947355e-07)","(0.6804150342941284, 0.3195849657058716)","(0.822638213634491, 0.17736178636550903)"
744,"(0.9999974370002747, 2.5383699266967596e-06)","(0.6900025010108948, 0.3099974989891052)","(0.8479576706886292, 0.15204232931137085)"
745,"(0.999625563621521, 0.0003744465357158333)","(0.6992911696434021, 0.3007088005542755)","(0.8734763860702515, 0.12652361392974854)"
746,"(0.9963120818138123, 0.0036879361141473055)","(0.7082018256187439, 0.2917981743812561)","(0.8988349437713623, 0.1011650562286377)"
747,"(0.9982858896255493, 0.0017141149146482348)","(0.71690434217453, 0.28309568762779236)","(0.9248547554016113, 0.07514524459838867)"
748,"(0.9994017481803894, 0.0005982561851851642)","(0.725379228591919, 0.27462077140808105)","(0.9514710903167725, 0.04852890968322754)"
749,"(0.9989410638809204, 0.0010589153971523046)","(0.7335860729217529, 0.26641392707824707)","(0.9785033464431763, 0.02149665355682373)"
750,"(0.9932393431663513, 0.00676067965105176)","(0.7413756847381592, 0.2586243152618408)","(1.0, 0.0)"
751,"(0.9809087514877319, 0.019091231748461723)","(0.748561680316925, 0.25143834948539734)","(1.0, 0.0)"
752,"(0.8842108845710754, 0.11578910052776337)","(0.7526311278343201, 0.24736885726451874)","(1.0, 0.0)"
753,"(0.7049146890640259, 0.2950853109359741)","(0.7511996626853943, 0.2488003522157669)","(1.0, 0.0)"
754,"(0.9353817701339722, 0.06461825221776962)","(0.7567250728607178, 0.24327489733695984)","(1.0, 0.0)"
755,"(0.9897361397743225, 0.010263882577419281)","(0.7637154459953308, 0.23628456890583038)","(1.0, 0.0)"
756,"(0.5793085098266602, 0.42069151997566223)","(0.7581832408905029, 0.24181677401065826)","(1.0, 0.0)"
757,"(0.12570179998874664, 0.8742982149124146)","(0.7392088174819946, 0.26079121232032776)","(0.9863501787185669, 0.013649821281433105)"
758,"(0.312071293592453, 0.6879286766052246)","(0.7263947129249573, 0.2736053168773651)","(0.9827736020088196, 0.01722639799118042)"
759,"(0.20491600036621094, 0.7950839996337891)","(0.7107503414154053, 0.2892496585845947)","(0.9744913578033447, 0.025508642196655273)"
760,"(0.0017010740702971816, 0.9982989430427551)","(0.689478874206543, 0.31052112579345703)","(0.9461156129837036, 0.05388438701629639)"
761,"(7.893744623288512e-05, 0.9999210834503174)","(0.6687968969345093, 0.3312031030654907)","(0.9169642329216003, 0.08303576707839966)"
762,"(0.00018522577011026442, 0.9998147487640381)","(0.6487385630607605, 0.3512614369392395)","(0.8873088955879211, 0.11269110441207886)"
763,"(0.0001582311961101368, 0.9998417496681213)","(0.6292811632156372, 0.3707188069820404)","(0.8571746349334717, 0.14282536506652832)"
764,"(1.0378214938100427e-05, 0.9999896287918091)","(0.6104030609130859, 0.38959693908691406)","(0.8266083002090454, 0.1733916997909546)"
765,"(1.9085764506598935e-06, 0.9999980926513672)","(0.5920910835266113, 0.40790894627571106)","(0.7957136631011963, 0.2042863368988037)"
766,"(8.223471013479866e-06, 0.999991774559021)","(0.574328601360321, 0.42567139863967896)","(0.7645928859710693, 0.23540711402893066)"
